Feature1,Feature2,Feature3,Feature4,CardType_Elite,CardType_Platinum,CardType_Smart Cash,CardType_True Line,CardType_True Line Gold,score,Month
0.1026979166666666,,,0.0,0,0.0,0.0,1,0,0.2634,1/31/2019
0.304594,,,19.51,0,1.0,0.0,0,0,0.2269,1/31/2019
0.9225919708029198,,,9.48,0,0.0,0.0,0,1,0.5755,1/31/2019
-0.001814,,,0.0,0,1.0,0.0,0,0,0.0125,1/31/2019
0.1764376623376623,,,0.0,0,1.0,0.0,0,0,0.196,1/31/2019
0.6061483606557377,,,28.38,0,0.0,1.0,0,0,0.2009,1/31/2019
0.0398371428571428,,,0.0,0,1.0,0.0,0,0,0.1172,1/31/2019
-0.000496,,,0.0,1,0.0,0.0,0,0,0.0009,1/31/2019
0.93249,,,155.75,0,0.0,0.0,1,0,0.8517,1/31/2019
0.2094599999999999,,,3.15,0,0.0,0.0,1,0,0.1998,1/31/2019
0.0,,,0.0,0,0.0,0.0,0,1,0.0885,1/31/2019
0.3890282608695652,,,33.38,1,0.0,0.0,0,0,0.4714,1/31/2019
1.0804253164556965,,,170.4,1,0.0,0.0,0,0,0.8379,1/31/2019
6.666666666666668e-06,,,0.06,1,0.0,0.0,0,0,0.0677,1/31/2019
0.008817,,,1.53,1,0.0,0.0,0,0,0.0489,1/31/2019
0.009499412,,,0.0,0,0.0,0.0,1,0,0.0091,1/31/2019
0.4899774999999999,,,71.62,0,0.0,0.0,0,1,0.4723,1/31/2019
0.117313,,,108.6,0,0.0,0.0,1,0,0.1456,1/31/2019
0.04436789,,,0.03,0,1.0,0.0,0,0,0.0768,1/31/2019
0.1493225,,,0.0,0,0.0,1.0,0,0,0.4289,1/31/2019
2.1428571428571427e-06,,,0.03,0,1.0,0.0,0,0,0.0568,1/31/2019
0.0,,,0.0,0,0.0,1.0,0,0,0.11,1/31/2019
0.1275164705882353,,,12.39,0,0.0,1.0,0,0,0.2587,1/31/2019
0.00696,,,1.42,0,0.0,0.0,0,1,0.2169,1/31/2019
